Date,Open,High,Low,Close,Volume,Adj Close
26-09-2016,520.5,521.5,515.700012,517.849976,1480496,441.057709
27-09-2016,517.849976,524.775024,517.5,520.224976,359418,443.080536
28-09-2016,520,520.900024,517,519.299988,359716,442.292755
29-09-2016,520.5,522,512,514.950012,692438,438.587799
30-09-2016,515.5,521.924988,515.5,519.049988,442260,442.079742
03-10-2016,519.049988,520.400024,513.25,518.924988,183024,441.973328
04-10-2016,520,525.549988,519,524.400024,219896,446.636444
05-10-2016,524.349976,524.75,518.5,520.575012,127792,443.378693
06-10-2016,520.5,520.575012,512.5,513.325012,223030,437.203796
07-10-2016,515,516.375,505.024994,506.325012,775506,431.241791
10-10-2016,507.274994,516,505,514.775024,415070,438.438751
13-10-2016,514.724976,528.75,512.275024,526.025024,701788,448.020538
14-10-2016,530,540.349976,498.075012,513.700012,3713156,437.523163
17-10-2016,518,520.875,508.950012,511.024994,467654,435.244812
18-10-2016,515,519.950012,513.700012,519.099976,279934,442.122314
19-10-2016,521,522.525024,517.5,520.799988,252370,443.570282
20-10-2016,520.549988,524.974976,517.5,518.474976,213322,441.590027
21-10-2016,517.5,520.5,512.525024,519.049988,140864,451.662262
24-10-2016,520,521,513.5,514.5,151990,447.703033
25-10-2016,514.950012,517.950012,507.75,508.674988,225310,442.634277
26-10-2016,510,510.299988,505.049988,507.424988,285510,441.54657
27-10-2016,507.950012,509.899994,502.174988,503.075012,243686,437.761322
28-10-2016,503.5,504.899994,497,498.725006,473538,433.976135
01-11-2016,504.924988,504.924988,493,494.424988,460658,430.234314
02-11-2016,494,494,490,490.549988,282598,426.862427
03-11-2016,492.25,492.25,482.549988,483.450012,418810,420.684204
04-11-2016,483.450012,489.424988,481,485.399994,406896,422.381042
07-11-2016,491.125,495,487.799988,489.375,213416,425.839996
08-11-2016,493.024994,495,485.475006,491.399994,294210,427.602081
09-11-2016,470,486.850006,450.149994,477.924988,816640,415.876556
10-11-2016,480.524994,482.600006,467.5,469.299988,542896,408.371307
11-11-2016,470,471,459.5,460.924988,431212,401.083588
15-11-2016,461,469,454.774994,462.375,489250,402.345337
16-11-2016,463.049988,478.350006,463.049988,470.049988,364868,409.023926
17-11-2016,467.399994,474.5,463.125,464.774994,271942,404.433777
18-11-2016,464.899994,466.450012,459,459.899994,208634,400.191681
21-11-2016,465.450012,465.450012,453.375,455.575012,264722,396.428223
22-11-2016,460.875,464,456,456.975006,206896,397.646454
23-11-2016,462,462,456.600006,460.25,342490,400.496246
24-11-2016,461.649994,470,461.450012,466.350006,701266,405.804291
25-11-2016,465.149994,492.450012,465.149994,488.649994,793304,425.209106
28-11-2016,497.399994,497.399994,485.325012,489.825012,751482,426.231567
29-11-2016,491.5,491.725006,483.700012,486.325012,219656,423.186035
30-11-2016,485,488.75,481,487.725006,283270,424.404205
01-12-2016,488,492,484.725006,488.024994,199366,424.665253
02-12-2016,484.5,484.950012,480.5,482.049988,179072,419.465942
05-12-2016,482.5,484.100006,478.950012,480.700012,171756,418.29126
